Player,90s,Goals,Shots,PKs,npxG,npG,Born,Age
Adolfo Gaich (1999),8.5,2.0,23.0,0.0,2.5,2.0,1999.0,22.0
Adri Embarba (1992),57.099999999999994,7.0,117.0,4.0,7.9,3.0,1992.0,29.0
Adrian Fein (1999),0.4,0.0,1.0,0.0,0.0,0.0,1999.0,22.0
Adrian Grbić (1996),16.5,5.0,43.0,3.0,4.9,2.0,1996.0,25.0
Adrian Mariappa (1986),62.800000000000004,0.0,20.0,0.0,2.0,0.0,1986.0,35.0
Adrian Stoian (1991),23.7,2.0,21.0,0.0,1.5,2.0,1991.0,30.0
Adrien Hunou (1994),49.900000000000006,25.0,107.0,1.0,22.2,24.0,1994.0,27.0
Adrien Lebeau (1999),0.1,0.0,0.0,0.0,0.0,0.0,1999.0,22.0
Adrien Louveau (2000),0.1,0.0,0.0,0.0,0.0,0.0,2000.0,21.0
Adrien Rabiot (1995),96.89999999999999,8.0,101.0,0.0,7.9,8.0,1995.0,26.0
Adrien Silva (1989),66.1,1.0,48.0,0.0,1.7,1.0,1989.0,32.0
Adrien Tameze (1994),98.2,4.0,57.0,0.0,3.8,4.0,1994.0,27.0
Adrien Thomasson (1993),122.5,29.0,239.0,0.0,26.7,29.0,1993.0,28.0
Adrien Truffert (2001),29.9,3.0,34.0,0.0,2.5,3.0,2001.0,20.0
Adrián Butzke (1999),0.0,0.0,0.0,0.0,0.0,0.0,1999.0,22.0
Adrián Cubas (1996),24.9,1.0,11.0,0.0,0.5,1.0,1996.0,25.0
Adrián Diéguez (1996),13.100000000000001,0.0,4.0,0.0,0.1,0.0,1996.0,25.0
Adrián González (1988),26.0,3.0,29.0,1.0,2.1,2.0,1988.0,33.0
Adrián Guerrero (1998),1.4,0.0,0.0,0.0,0.0,0.0,1998.0,23.0
Adrián López (1988),47.400000000000006,12.0,88.0,1.0,10.7,11.0,1988.0,33.0
Adrián Marín (1997),19.3,0.0,7.0,0.0,1.0,0.0,1997.0,24.0
Adrián Ramos (1986),2.5,0.0,6.0,0.0,0.4,0.0,1986.0,35.0
Adrián Sahibeddine (1994),0.2,0.0,2.0,0.0,0.2,0.0,1994.0,27.0
Afonso Figueiredo (1993),2.5,0.0,0.0,0.0,0.0,0.0,1993.0,28.0
Afriyie Acquah (1992),27.4,3.0,32.0,0.0,2.2,3.0,1992.0,29.0
Ager Aketxe (1993),0.4,0.0,2.0,0.0,0.1,0.0,1993.0,28.0
Agustín Rogel (1997),9.5,0.0,3.0,0.0,0.3,0.0,1997.0,24.0
Ahmad Benali (1992),22.5,1.0,16.0,0.0,1.9000000000000001,1.0,1992.0,29.0
Ahmad Ngouyamsa (2000),2.3,0.0,0.0,0.0,0.0,0.0,2000.0,21.0
Ahmed Elmohamady (1987),20.8,1.0,14.0,0.0,0.7,1.0,1987.0,34.0
Ahmed Hegazi (1991),38.6,2.0,18.0,0.0,1.7,2.0,1991.0,30.0
Ahmed Kutucu (2000),13.399999999999999,5.0,28.0,0.0,2.9000000000000004,5.0,2000.0,21.0
Ahmet Gürleyen (1999),0.1,0.0,1.0,0.0,0.5,0.0,1999.0,22.0
Aiden O'Neill (1998),0.0,0.0,0.0,0.0,0.0,0.0,1998.0,23.0
Aihen Muñoz (1997),47.7,0.0,13.0,0.0,0.5,0.0,1997.0,24.0
Ailton (1995),1.2,0.0,1.0,0.0,0.0,0.0,1995.0,26.0
Aimar Oroz (2001),0.1,0.0,0.0,0.0,0.0,0.0,2001.0,20.0
Aimar Sher (2002),0.5,0.0,0.0,0.0,0.0,0.0,2002.0,19.0
Aimen Moueffek (2001),11.200000000000001,0.0,5.0,0.0,0.30000000000000004,0.0,2001.0,20.0
Ainsley Maitland-Niles (1997),59.7,1.0,28.0,0.0,2.3999999999999995,1.0,1997.0,24.0
Aitor Ruibal (1996),37.0,2.0,58.0,0.0,3.8,2.0,1996.0,25.0
Ajdin Hrustic (1996),8.1,1.0,21.0,0.0,0.7,1.0,1996.0,25.0
Akaki Gogia (1992),2.9000000000000004,0.0,3.0,0.0,0.1,0.0,1992.0,29.0
Akim Zedadka (1995),18.9,0.0,17.0,0.0,0.6,0.0,1995.0,26.0
Akin Famewo (1998),0.0,0.0,0.0,0.0,0.0,0.0,1998.0,23.0
